Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
06-02-2017,0.79,0.79,0.76,0.76,0.79,7430,7,5848,7430,100,0.03,-0.03
03-02-2017,0.79,0.79,0.79,0.79,0.79,310,4,244,310,100,0,0
02-02-2017,0.83,0.83,0.83,0.83,0.83,75,1,62,75,100,0,0
31-01-2017,0.87,0.87,0.87,0.87,0.87,1050,2,913,1050,100,0,0
25-01-2017,0.91,0.91,0.91,0.91,0.91,400,1,364,400,100,0,0
24-01-2017,0.91,0.91,0.9,0.91,0.91,3632,6,3303,3632,100,0.01,0
23-01-2017,0.91,0.91,0.91,0.91,0.91,55,1,50,55,100,0,0
20-01-2017,0.93,0.93,0.92,0.92,0.92,74,2,68,74,100,0.01,-0.01
19-01-2017,0.89,0.89,0.89,0.89,0.88,77,2,68,77,100,0,0
18-01-2017,0.88,0.88,0.85,0.85,0.87,84,2,73,84,100,0.03,-0.03
17-01-2017,0.84,0.88,0.84,0.86,0.84,8100,10,6806,8100,100,0.04,0.02
12-01-2017,0.89,0.89,0.88,0.88,0.89,10105,3,8993,10105,100,0.01,-0.01
10-01-2017,0.93,0.93,0.85,0.85,0.88,155,2,136,155,100,0.08,-0.08
09-01-2017,0.89,0.89,0.89,0.89,0.88,60,1,53,60,100,0,0
06-01-2017,0.9,0.9,0.89,0.89,0.89,580,2,517,580,100,0.01,-0.01
05-01-2017,0.86,0.86,0.86,0.86,0.85,110,1,94,110,100,0,0
04-01-2017,0.84,0.84,0.82,0.82,0.83,705,4,588,705,100,0.02,-0.02
03-01-2017,0.79,0.8,0.79,0.8,0.79,5865,7,4656,5865,100,0.01,0.01
02-01-2017,0.77,0.77,0.77,0.77,0.77,400,4,308,400,100,0,0
30-12-2016,0.75,0.75,0.75,0.75,0.75,300,1,225,300,100,0,0
29-12-2016,0.7,0.76,0.7,0.76,0.7,1152,2,806,1152,100,0.06,0.06
27-12-2016,0.73,0.73,0.73,0.73,0.73,1200,1,876,1200,100,0,0
26-12-2016,0.84,0.84,0.76,0.76,0.78,312,3,242,312,100,0.08,-0.08
22-12-2016,0.8,0.8,0.8,0.8,0.8,2000,2,1600,2000,100,0,0
21-12-2016,0.88,0.88,0.8,0.8,0.8,1479,3,1189,1479,100,0.08,-0.08
20-12-2016,0.84,0.84,0.84,0.84,0.84,250,1,210,250,100,0,0
14-12-2016,0.88,0.88,0.88,0.88,0.88,700,1,616,700,100,0,0
13-12-2016,0.88,0.88,0.88,0.88,0.75,4,1,3,4,100,0,0
12-12-2016,0.88,0.89,0.88,0.89,0.88,100,2,88,100,100,0.01,0.01
06-12-2016,0.9,0.9,0.9,0.9,0.87,15,1,13,15,100,0,0
05-12-2016,0.9,0.9,0.9,0.9,0.9,500,2,450,500,100,0,0
29-11-2016,0.96,0.96,0.91,0.91,0.93,1104,4,1024,1104,100,0.05,-0.05
28-11-2016,0.96,0.96,0.95,0.95,0.95,12065,5,11492,12065,100,0.01,-0.01
25-11-2016,0.93,0.93,0.93,0.93,0.93,264,2,245,264,100,0,0
24-11-2016,0.93,0.93,0.92,0.92,0.92,89,2,82,89,100,0.01,-0.01
23-11-2016,0.9,0.9,0.9,0.9,0.89,65,1,58,65,100,0,0
21-11-2016,0.89,0.89,0.89,0.89,0.89,400,1,356,400,100,0,0
18-11-2016,0.92,0.92,0.9,0.9,0.92,182,3,167,182,100,0.02,-0.02
17-11-2016,0.94,0.94,0.86,0.9,0.89,2973,10,2638,2973,100,0.08,-0.04
16-11-2016,0.9,0.9,0.9,0.9,0.9,1069,2,962,1069,100,0,0
15-11-2016,0.92,0.92,0.86,0.86,0.88,171,4,150,171,100,0.06,-0.06
11-11-2016,0.9,0.9,0.9,0.9,0.9,69,1,62,69,100,0,0
10-11-2016,0.87,0.89,0.87,0.89,0.87,10191,5,8866,10191,100,0.02,0.02
09-11-2016,0.91,0.91,0.9,0.91,0.9,10001,6,9022,10001,100,0.01,0
08-11-2016,0.88,0.88,0.87,0.88,0.88,137,3,120,137,100,0.01,0
07-11-2016,0.91,0.91,0.84,0.84,0.85,3593,8,3066,3593,100,0.07,-0.07
04-11-2016,0.88,0.88,0.84,0.88,0.86,9239,22,7990,9239,100,0.04,0
03-11-2016,0.84,0.84,0.84,0.84,0.83,69,2,57,69,100,0,0
02-11-2016,0.8,0.8,0.77,0.8,0.79,285,4,224,285,100,0.03,0
01-11-2016,0.81,0.81,0.77,0.77,0.8,4239,6,3387,4239,100,0.04,-0.04
25-10-2016,0.78,0.78,0.78,0.78,0.77,87,1,67,87,100,0,0
24-10-2016,0.81,0.81,0.75,0.75,0.75,40165,5,30256,40165,100,0.06,-0.06
21-10-2016,0.78,0.78,0.78,0.78,0.78,6184,4,4823,6184,100,0,0
20-10-2016,0.77,0.77,0.76,0.76,0.76,384,2,292,384,100,0.01,-0.01
19-10-2016,0.8,0.8,0.74,0.74,0.78,15384,6,11993,15384,100,0.06,-0.06
18-10-2016,0.78,0.78,0.77,0.77,0.78,1218,4,948,1218,100,0.01,-0.01
17-10-2016,0.78,0.78,0.75,0.75,0.77,8000,2,6150,8000,100,0.03,-0.03
14-10-2016,0.72,0.78,0.72,0.78,0.77,5535,9,4247,5535,100,0.06,0.06
07-10-2016,0.74,0.75,0.74,0.75,0.75,5050,3,3773,5050,100,0.01,0.01
06-10-2016,0.72,0.72,0.72,0.72,0.72,50671,4,36483,50671,100,0,0
05-10-2016,0.71,0.71,0.71,0.71,0.71,2000,1,1420,2000,100,0,0
04-10-2016,0.7,0.7,0.68,0.68,0.7,27500,3,19200,27500,100,0.02,-0.02
28-09-2016,0.7,0.7,0.7,0.7,0.7,3000,4,2100,3000,100,0,0
27-09-2016,0.72,0.72,0.7,0.7,0.71,3994,5,2851,3994,100,0.02,-0.02
26-09-2016,0.69,0.69,0.69,0.69,0.69,90,1,62,90,100,0,0
23-09-2016,0.66,0.66,0.6,0.66,0.66,2055,7,1350,2055,100,0.06,0
22-09-2016,0.57,0.63,0.57,0.63,0.57,10634,4,6079,10634,100,0.06,0.06
21-09-2016,0.6,0.6,0.6,0.6,0.6,1000,1,600,1000,100,0,0
20-09-2016,0.63,0.63,0.63,0.63,0.63,100,1,63,100,100,0,0
16-09-2016,0.65,0.65,0.63,0.63,0.63,75833,8,47814,75833,100,0.02,-0.02
15-09-2016,0.69,0.69,0.66,0.66,0.69,1099,3,755,1099,100,0.03,-0.03
14-09-2016,0.69,0.74,0.69,0.69,0.69,22900,6,15851,22900,100,0.05,0
12-09-2016,0.72,0.72,0.72,0.72,0.72,8500,5,6120,8500,100,0,0
08-09-2016,0.75,0.75,0.75,0.75,0.74,50,1,37,50,100,0,0
02-09-2016,0.74,0.74,0.74,0.74,0.74,1000,1,740,1000,100,0,0
01-09-2016,0.75,0.75,0.74,0.75,0.75,21100,9,15723,21100,100,0.01,0
30-08-2016,0.73,0.73,0.67,0.72,0.7,9980,4,6984,9980,100,0.06,-0.01
29-08-2016,0.7,0.7,0.64,0.7,0.64,10091,4,6463,10091,100,0.06,0
26-08-2016,0.73,0.73,0.67,0.67,0.67,5490,2,3683,5490,100,0.06,-0.06
25-08-2016,0.73,0.76,0.7,0.7,0.7,5300,5,3722,5300,100,0.06,-0.03
23-08-2016,0.73,0.76,0.73,0.73,0.73,1111,4,814,1111,100,0.03,0
22-08-2016,0.78,0.78,0.73,0.73,0.76,175,2,133,175,100,0.05,-0.05
19-08-2016,0.76,0.76,0.72,0.76,0.74,2575,5,1917,2575,100,0.04,0
18-08-2016,0.67,0.73,0.67,0.73,0.73,3356,5,2434,3356,100,0.06,0.06
17-08-2016,0.76,0.76,0.7,0.7,0.76,114084,14,86593,114084,100,0.06,-0.06
12-08-2016,0.73,0.73,0.73,0.73,0.73,100,1,73,100,100,0,0
11-08-2016,0.71,0.71,0.71,0.71,0.7,90,1,63,90,100,0,0
09-08-2016,0.69,0.69,0.69,0.69,0.69,1000,2,690,1000,100,0,0
04-08-2016,0.66,0.66,0.66,0.66,0.65,92,1,60,92,100,0,0
03-08-2016,0.58,0.63,0.58,0.63,0.63,3010,6,1895,3010,100,0.05,0.05
02-08-2016,0.6,0.6,0.6,0.6,0.6,1000,2,600,1000,100,0,0
01-08-2016,0.58,0.58,0.58,0.58,0.58,30791,5,17858,30791,100,0,0
29-07-2016,0.56,0.56,0.56,0.56,0.56,5000,2,2800,5000,100,0,0
26-07-2016,0.5,0.54,0.5,0.54,0.51,290,2,149,290,100,0.04,0.04
25-07-2016,0.52,0.52,0.52,0.52,0.52,682,2,354,682,100,0,0
22-07-2016,0.54,0.54,0.54,0.54,0.54,318,1,171,318,100,0,0
21-07-2016,0.56,0.56,0.56,0.56,0.56,11700,2,6552,11700,100,0,0
